Date/Time,Consumption (kW)
 12/27  15:00:00,31.00957747
 12/27  16:00:00,30.30792561
 12/27  17:00:00,32.23715031
 12/27  18:00:00,36.31346561
 12/27  19:00:00,36.07952554
 12/27  20:00:00,37.25264933
 12/27  21:00:00,37.86442199
 12/27  22:00:00,38.46831071
 12/27  23:00:00,38.12620647
 12/27  24:00:00,37.59463066
 12/28  01:00:00,38.64162657
 12/28  02:00:00,37.4823601
 12/28  03:00:00,37.40342828
 12/28  04:00:00,37.42314345
 12/28  05:00:00,37.13888317
 12/28  06:00:00,37.36363778
 12/28  07:00:00,39.61177371
 12/28  08:00:00,43.07260297
 12/28  09:00:00,40.72150141
 12/28  10:00:00,38.94590525
 12/28  11:00:00,37.52884254
 12/28  12:00:00,33.00729611
 12/28  13:00:00,32.15943023
 12/28  14:00:00,33.78141383
 12/28  15:00:00,33.32465915
 12/28  16:00:00,31.56736511
 12/28  17:00:00,35.43844798
 12/28  18:00:00,38.16226349
 12/28  19:00:00,40.0192481
 12/28  20:00:00,39.74842502
 12/28  21:00:00,39.01246351
 12/28  22:00:00,39.11063148
 12/28  23:00:00,38.81430533
 12/28  24:00:00,38.73054837
 12/29  01:00:00,40.37221234
 12/29  02:00:00,41.82704345
 12/29  03:00:00,41.92028654
 12/29  04:00:00,42.38878009
 12/29  05:00:00,43.2969369
 12/29  06:00:00,45.74677056
 12/29  07:00:00,49.45425377
 12/29  08:00:00,50.01797795
 12/29  09:00:00,44.29673344
 12/29  10:00:00,39.89834653
 12/29  11:00:00,38.72376438
 12/29  12:00:00,33.04801651
 12/29  13:00:00,29.78720189
 12/29  14:00:00,27.22687717
 12/29  15:00:00,24.76672352
 12/29  16:00:00,26.54655068
 12/29  17:00:00,28.81290989
 12/29  18:00:00,33.70165441
 12/29  19:00:00,34.32339776
 12/29  20:00:00,35.38635722
 12/29  21:00:00,36.64214163
 12/29  22:00:00,36.20763375
 12/29  23:00:00,35.51551189
 12/29  24:00:00,35.40519471
 12/30  01:00:00,35.68762886
 12/30  02:00:00,36.13741737
 12/30  03:00:00,37.64042842
 12/30  04:00:00,37.96208651
 12/30  05:00:00,37.40899758
 12/30  06:00:00,37.46150819
 12/30  07:00:00,38.34862518
 12/30  08:00:00,38.06034608
 12/30  09:00:00,36.17256621
 12/30  10:00:00,33.06112636
 12/30  11:00:00,31.29169222
 12/30  12:00:00,27.92055012
 12/30  13:00:00,25.0123156
 12/30  14:00:00,24.12786922
 12/30  15:00:00,23.39944539
 12/30  16:00:00,23.56993025
 12/30  17:00:00,25.54503565
 12/30  18:00:00,28.64121943
 12/30  19:00:00,27.91023847
 12/30  20:00:00,27.88155887
 12/30  21:00:00,28.30046357
 12/30  22:00:00,28.07065676
 12/30  23:00:00,27.13897911
 12/30  24:00:00,26.85979852
 12/31  01:00:00,26.9650228
 12/31  02:00:00,26.92893105
 12/31  03:00:00,27.00441904
 12/31  04:00:00,26.53500244
 12/31  05:00:00,27.24894265
 12/31  06:00:00,26.74488824
 12/31  07:00:00,27.67346586
 12/31  08:00:00,30.75986816
 12/31  09:00:00,28.56712084
 12/31  10:00:00,26.80092152
 12/31  11:00:00,27.82179427
 12/31  12:00:00,25.78125634
 12/31  13:00:00,24.15149047
 12/31  14:00:00,21.97820935
 12/31  15:00:00,21.78428406
 12/31  16:00:00,21.13327707
 12/31  17:00:00,22.3904476
 12/31  18:00:00,24.88890844
 12/31  19:00:00,23.88064282
 12/31  20:00:00,23.85054343
 12/31  21:00:00,23.65477072
 12/31  22:00:00,22.80654738
 12/31  23:00:00,21.53295768
 12/31  24:00:00,20.63215499
